FIPS,State FIPS,County FIPS,SHP File Record Order Number,Area Name,Area Name (2),Qualifying Area Name,Summary Level,State/US Abbreviation,Area Name,NHGIS State FIPS,NHGIS County FIPS,NHGIS GIS JOIN FIELD,ICPSR State FIPS,ICPSR County FIPS,ICPSR FIPS,ICPSR Area Name,Land Area,Area,Total Population,Total Population,Population Density Per Square Mile,Total Area in Square Miles,White Male,White Male Age Under 16,White Male Age 16 Years and over
Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_recnum,Geo_name,Geo_name2,Geo_QName,Geo_SUMLEV,Geo_STUSAB,Geo_NHGISNAM,Geo_NHGISST,Geo_NHGISCTY,Geo_GISJOIN,Geo_icpsrst,Geo_icpsrcty,Geo_icpsrfips,Geo_icpsrname,Geo_AREAL,Geo_SHAPE_AREA,SE_T001_001,SE_A001_002,SE_A001_001,SE_A001_003,SE_T006_001,SE_T006_002,SE_T006_003
900010,90,10,1,Fairfield County,"Fairfield County, CT","Fairfield County, Connecticut",50,CT,Fairfield,90,10,900010,1,10,9001,Fairfield,646.2923,1673889466,36290,36290,56.15106033,646.2923369,17543,8394,9149
900030,90,30,2,Hartford County,"Hartford County, CT","Hartford County, Connecticut",50,CT,Hartford,90,30,900030,1,30,9003,Hartford,717.5392,1858417906,38149,38149,53.16643582,717.5391657,18652,8844,9808
900050,90,50,3,Litchfield County,"Litchfield County, CT","Litchfield County, Connecticut",50,CT,Litchfield,90,50,900050,1,50,9005,Litchfield,1025.549,2656160553,38635,38635,37.67249326,1025.549324,19372,9237,10135
900070,90,70,4,Middlesex County,"Middlesex County, CT","Middlesex County, Connecticut",50,CT,Middlesex,90,70,900070,1,70,9007,Middlesex,360.0404,932500428.7,18828,18828,52.29412725,360.0404288,8870,4140,4730
900090,90,90,5,New Haven County,"New Haven County, CT","New Haven County, Connecticut",50,CT,New Haven,90,90,900090,1,90,9009,New Haven,590.249,1528737989,30703,30703,52.01702676,590.2490379,14684,6841,7843
900110,90,110,6,New London County,"New London County, CT","New London County, Connecticut",50,CT,New London,90,110,900110,1,110,9011,New London,601.2843,1557319128,32918,32918,54.74615124,601.2842776,15337,7148,8189
900130,90,130,7,Tolland County,"Tolland County, CT","Tolland County, Connecticut",50,CT,Tolland,90,130,900130,1,130,9013,Tolland,344.8293,893103845.4,13251,13251,38.42770646,344.8293229,6587,3138,3449
900150,90,150,8,Windham County,"Windham County, CT","Windham County, Connecticut",50,CT,Windham,90,150,900150,1,150,9015,Windham,691.2063,1790216082,28881,28881,41.78347367,691.2062944,13983,6547,7436
1000010,100,10,9,Kent County,"Kent County, DE","Kent County, Delaware",50,DE,Kent,100,10,1000010,11,10,10001,Kent,589.0506,1525633963,18920,18920,32.11948355,589.0505671,7172,3467,3705
1000030,100,30,10,New Castle County,"New Castle County, DE","New Castle County, Delaware",50,DE,New Castle,100,30,1000030,11,30,10003,New Castle,441.9734,1144705777,19688,19688,44.54567007,441.9733718,8720,4747,3973
1000050,100,50,11,Sussex County,"Sussex County, DE","Sussex County, Delaware",50,DE,Sussex,100,50,1000050,11,50,10005,Sussex,950.2357,2461099203,20488,20488,21.56096604,950.2357157,8034,3929,4105
1300330,130,330,12,Burke County,"Burke County, GA","Burke County, Georgia",50,GA,Burke,130,330,1300330,44,330,13033,Burke,1703.262,4411427258,9467,9467,5.558159747,1703.261589,3649,1841,1808
1300390,130,390,13,Camden County,"Camden County, GA","Camden County, Georgia",50,GA,Camden,130,390,1300390,44,390,13039,Camden,813.0193,2105710203,305,305,0.375144866,813.0192556,125,44,81
1300510,130,510,14,Chatham County,"Chatham County, GA","Chatham County, Georgia",50,GA,Chatham,130,510,1300510,44,510,13051,Chatham,617.3057,1598814302,10769,10769,17.44516665,617.3056537,1326,480,846
1301030,130,1030,15,Effingham County,"Effingham County, GA","Effingham County, Georgia",50,GA,Effingham,130,1030,1301030,44,1030,13103,Effingham,1972.884,5109745709,2424,2424,1.22865824,1972.88385,963,336,627
1301190,130,1190,16,Franklin County,"Franklin County, GA","Franklin County, Georgia",50,GA,Franklin,130,1190,1301190,44,1190,13119,Franklin,1647.277,4266428187,1041,1041,0.631951952,1647.277134,468,243,225
1301270,130,1270,17,Glynn County,"Glynn County, GA","Glynn County, Georgia",50,GA,Glynn,130,1270,1301270,44,1270,13127,Glynn,660.7437,1711318380,413,413,0.625053234,660.7437214,106,36,70
1301330,130,1330,18,Greene County,"Greene County, GA","Greene County, Georgia",50,GA,Greene,130,1330,1301330,44,1330,13133,Greene,712.4304,1845186135,5405,5405,7.586706542,712.4303504,2138,1111,1027
1301535,130,1535,19,Indian Lands,"Indian Lands, GA","Indian Lands, Georgia",50,GA,Indian Lands,130,1535,1301535,,,,,99651.1,2.58E+11,,,,99651.10176,,,
1301790,130,1790,20,Liberty County,"Liberty County, GA","Liberty County, Georgia",50,GA,Liberty,130,1790,1301790,44,1790,13179,Liberty,1689.833,4376647697,5355,5355,3.168951964,1689.833125,690,264,426
1302450,130,2450,21,Richmond County,"Richmond County, GA","Richmond County, Georgia",50,GA,Richmond,130,2450,1302450,44,2450,13245,Richmond,1199.903,3107733771,11317,11317,9.431597934,1199.902718,3819,1925,1894
1303030,130,3030,22,Washington County,"Washington County, GA","Washington County, Georgia",50,GA,Washington,130,3030,1303030,44,3030,13303,Washington,3809.848,9867459936,4552,4552,1.194798453,3809.847585,1971,1024,947
1303170,130,3170,23,Wilkes County,"Wilkes County, GA","Wilkes County, Georgia",50,GA,Wilkes,130,3170,1303170,44,3170,13317,Wilkes,2122.924,5498348299,31500,31500,14.83802425,2122.924149,11892,6740,5152
2400010,240,10,24,Allegany County,"Allegany County, MD","Allegany County, Maryland",50,MD,Allegany,240,10,2400010,52,10,24001,Allegany,1085.713,2811984959,4809,4809,4.429345459,1085.713464,2351,1283,1068
2400030,240,30,25,Anne Arundel County,"Anne Arundel County, MD","Anne Arundel County, Maryland",50,MD,Anne Arundel,240,30,2400030,52,30,24003,Anne Arundel,677.8028,1755501132,22598,22598,33.34008174,677.8027773,5992,2850,3142
2400050,240,50,26,Baltimore County,"Baltimore County, MD","Baltimore County, Maryland",50,MD,Baltimore,240,50,2400050,52,50,24005,Baltimore,889.0761,2302696521,25434,25434,28.60722501,889.0760984,9852,4668,5184
2400090,240,90,27,Calvert County,"Calvert County, MD","Calvert County, Maryland",50,MD,Calvert,240,90,2400090,52,70,24009,Calvert,218.2012,565138384.6,8652,8652,39.65148664,218.2011504,2200,1109,1091
2400110,240,110,28,Caroline County,"Caroline County, MD","Caroline County, Maryland",50,MD,Caroline,240,110,2400110,52,90,24011,Caroline,322.5988,835527164.1,9506,9506,29.46693777,322.598842,3539,1727,1812
2400150,240,150,29,Cecil County,"Cecil County, MD","Cecil County, Maryland",50,MD,Cecil,240,150,2400150,52,130,24015,Cecil,359.0488,929932180.3,13625,13625,37.94748554,359.0488225,5224,2377,2847
2400170,240,170,30,Charles County,"Charles County, MD","Charles County, Maryland",50,MD,Charles,240,170,2400170,52,150,24017,Charles,463.3297,1200018504,20613,20613,44.4888347,463.3297352,4964,2399,2565
2400190,240,190,31,Dorchester County,"Dorchester County, MD","Dorchester County, Maryland",50,MD,Dorchester,240,190,2400190,52,170,24019,Dorchester,583.7645,1511943196,15875,15875,27.19418382,583.7645324,4971,2430,2541
2400210,240,210,32,Frederick County,"Frederick County, MD","Frederick County, Maryland",50,MD,Frederick,240,210,2400210,52,190,24021,Frederick,905.7512,2345884809,30791,30791,33.9949871,905.7511894,14026,7016,7010
2400250,240,250,33,Harford County,"Harford County, MD","Harford County, Maryland",50,MD,Harford,240,250,2400250,52,230,24025,Harford,446.7173,1156992511,14976,14976,33.52455745,446.7173063,5684,2812,2872
2400290,240,290,34,Kent County,"Kent County, MD","Kent County, Maryland",50,MD,Kent,240,290,2400290,52,270,24029,Kent,285.6376,739797916.4,12836,12836,44.93806567,285.6375727,3423,1547,1876
2400310,240,310,35,Montgomery County,"Montgomery County, MD","Montgomery County, Maryland",50,MD,Montgomery,240,310,2400310,52,290,24031,Montgomery,526.9099,1364690298,18003,18003,34.16713371,526.9098706,6030,2746,3284
2400330,240,330,36,Prince Georges County,"Prince Georges County, MD","Prince Georges County, Maryland",50,MD,Prince Georges,240,330,2400330,52,310,24033,Prince Georges,529.9751,1372629238,21344,21344,40.27358928,529.9751123,5156,2503,2653
2400350,240,350,37,Queen Annes County,"Queen Annes County, MD","Queen Annes County, Maryland",50,MD,Queen Annes,240,350,2400350,52,330,24035,Queen Annes,377.3605,977359136.7,15463,15463,40.97673475,377.3604728,4132,1974,2158
2400370,240,370,38,St Marys County,"St Marys County, MD","St Marys County, Maryland",50,MD,St Marys,240,370,2400370,52,370,24037,St Marys,366.8876,950234489,15544,15544,42.36720052,366.8875878,4043,1943,2100
2400390,240,390,39,Somerset County,"Somerset County, MD","Somerset County, Maryland",50,MD,Somerset,240,390,2400390,52,350,24039,Somerset,552.5428,1431079262,15610,15610,28.25120552,552.5427928,4093,1908,2185
2400410,240,410,40,Talbot County,"Talbot County, MD","Talbot County, Maryland",50,MD,Talbot,240,410,2400410,52,390,24041,Talbot,275.11,712531686.2,13084,13084,47.55915428,275.1100224,3650,1712,1938
2400430,240,430,41,Washington County,"Washington County, MD","Washington County, Maryland",50,MD,Washington,240,430,2400430,52,410,24043,Washington,467.5444,1210934438,15822,15822,33.84063625,467.5444008,7601,3863,3738
2400470,240,470,42,Worcester County,"Worcester County, MD","Worcester County, Maryland",50,MD,Worcester,240,470,2400470,52,450,24047,Worcester,640.4845,1658847250,11640,11640,18.17374178,640.4845047,3901,1916,1985
2405100,240,5100,43,Baltimore City County,"Baltimore City County, MD","Baltimore City County, Maryland",50,MD,Baltimore City,240,5100,2405100,52,5100,24510,Baltimore City,13.7229,35542022.55,13503,13503,983.9791577,13.72285164,6422,2556,3866
2500010,250,10,44,Barnstable County,"Barnstable County, MA","Barnstable County, Massachusetts",50,MA,Barnstable,250,10,2500010,3,10,25001,Barnstable,419.7165,1087060716,17342,17342,41.31836712,419.7164895,8293,4093,4200
2500030,250,30,45,Berkshire County,"Berkshire County, MA","Berkshire County, Massachusetts",50,MA,Berkshire,250,30,2500030,3,30,25003,Berkshire,963.7001,2495971708,30263,30263,31.40292409,963.7000653,15146,7790,7356
2500050,250,50,46,Bristol County,"Bristol County, MA","Bristol County, Massachusetts",50,MA,Bristol,250,50,2500050,3,50,25005,Bristol,581.6803,1506544944,31696,31696,54.49041753,581.6802557,14895,6939,7956
2500055,250,55,47,Cumberland County,"Cumberland County, MA","Cumberland County, Massachusetts",50,MA,Cumberland,250,55,2500055,2,50,23005,Cumberland,3789.592,9814998056,25530,25530,6.7368731,3789.59194,12832,6624,6208
2500070,250,70,48,Dukes County,"Dukes County, MA","Dukes County, Massachusetts",50,MA,Dukes,250,70,2500070,3,70,25007,Dukes,111.5656,288953611.8,3255,3255,29.17565638,111.5656134,1534,711,823
2500090,250,90,49,Essex County,"Essex County, MA","Essex County, Massachusetts",50,MA,Essex,250,90,2500090,3,90,25009,Essex,517.3047,1339813136,57879,57879,111.8856933,517.3047446,26825,12567,14258
2500150,250,150,50,Hampshire County,"Hampshire County, MA","Hampshire County, Massachusetts",50,MA,Hampshire,250,150,2500150,3,150,25015,Hampshire,1903.753,4930698597,59656,59656,31.33599174,1903.753374,30118,15009,15109
2500153,250,153,51,Hancock County,"Hancock County, MA","Hancock County, Massachusetts",50,MA,Hancock,250,153,2500153,2,90,23009,Hancock,12640.11,32737724756,9542,9542,0.75489872,12640.10621,4964,2529,2435
2500157,250,157,52,Lincoln County,"Lincoln County, MA","Lincoln County, Massachusetts",50,MA,Lincoln,250,157,2500157,2,150,23015,Lincoln,9407.619,24365621492,29733,29733,3.16052338,9407.619063,15347,7679,7668
2500170,250,170,53,Middlesex County,"Middlesex County, MA","Middlesex County, Massachusetts",50,MA,Middlesex,250,170,2500170,3,170,25017,Middlesex,851.2408,2204703623,42769,42769,50.24312575,851.2408288,20691,9620,11071
2500190,250,190,54,Nantucket County,"Nantucket County, MA","Nantucket County, Massachusetts",50,MA,Nantucket,250,190,2500190,3,190,25019,Nantucket,49.6226,128521985.7,4555,4555,91.79282257,49.62261615,2218,1017,1201
2500230,250,230,55,Plymouth County,"Plymouth County, MA","Plymouth County, Massachusetts",50,MA,Plymouth,250,230,2500230,3,230,25023,Plymouth,666.7533,1726883117,29512,29512,44.26224813,666.7532999,14029,6536,7493
2500250,250,250,56,Suffolk County,"Suffolk County, MA","Suffolk County, Massachusetts",50,MA,Suffolk,250,250,2500250,3,250,25025,Suffolk,488.9623,1266406669,44865,44865,91.75553104,488.9623491,20699,9333,11366
2500255,250,255,57,Washington County,"Washington County, MA","Washington County, Massachusetts",50,MA,Washington,250,255,2500255,2,290,23029,Washington,3991.806,10338730969,2760,2760,0.691416306,3991.806348,1462,708,754
2500270,250,270,58,Worcester County,"Worcester County, MA","Worcester County, Massachusetts",50,MA,Worcester,250,270,2500270,3,270,25027,Worcester,1558.41,4036263230,56764,56764,36.42430549,1558.409948,28264,13664,14600
2500275,250,275,59,York County,"York County, MA","York County, Massachusetts",50,MA,York,250,275,2500275,2,310,23031,York,2657.719,6883460913,29078,29078,10.94096053,2657.71912,14469,7193,7276
3300050,330,50,60,Cheshire County,"Cheshire County, NH","Cheshire County, New Hampshire",50,NH,Cheshire,330,50,3300050,4,50,33005,Cheshire,1285.118,3328440818,28753,28753,22.37381769,1285.118186,14575,7567,7008
3300090,330,90,61,Grafton County,"Grafton County, NH","Grafton County, New Hampshire",50,NH,Grafton,330,90,3300090,4,90,33009,Grafton,3946.802,10222171001,13468,13468,3.412382734,3946.802293,7079,3311,3768
3300110,330,110,62,Hillsborough County,"Hillsborough County, NH","Hillsborough County, New Hampshire",50,NH,Hillsborough,330,110,3300110,4,110,33011,Hillsborough,1357.408,3515671187,32883,32883,24.22484197,1357.408236,16537,8392,8145
3300150,330,150,63,Rockingham County,"Rockingham County, NH","Rockingham County, New Hampshire",50,NH,Rockingham,330,150,3300150,4,150,33015,Rockingham,1132.914,2934232629,43184,43184,38.11764797,1132.913553,20808,9667,11141
3300170,330,170,64,Strafford County,"Strafford County, NH","Strafford County, New Hampshire",50,NH,Strafford,330,170,3300170,4,170,33017,Strafford,1544.243,3999569803,23611,23611,15.2896967,1544.242536,11930,5918,6012
3400030,340,30,65,Bergen County,"Bergen County, NJ","Bergen County, New Jersey",50,NJ,Bergen,340,30,3400030,12,30,34003,Bergen,458.031,1186294741,12601,12601,27.51124069,458.0309606,5164,2299,2865
3400050,340,50,66,Burlington County,"Burlington County, NJ","Burlington County, New Jersey",50,NJ,Burlington,340,50,3400050,12,50,34005,Burlington,906.7724,2348529607,18095,18095,19.9553945,906.7723517,8789,4164,4625
3400090,340,90,67,Cape May County,"Cape May County, NJ","Cape May County, New Jersey",50,NJ,Cape May,340,90,3400090,12,90,34009,Cape May,240.7855,623631471,2571,2571,10.67755515,240.7854574,1240,609,631
3400110,340,110,68,Cumberland County,"Cumberland County, NJ","Cumberland County, New Jersey",50,NJ,Cumberland,340,110,3400110,12,110,34011,Cumberland,523.2504,1355212421,8248,8248,15.76300629,523.2504416,4113,1966,2147
3400130,340,130,69,Essex County,"Essex County, NJ","Essex County, New Jersey",50,NJ,Essex,340,130,3400130,12,130,34013,Essex,258.9976,670800584.8,17785,17785,68.66860216,258.9975541,8311,3972,4339
3400150,340,150,70,Gloucester County,"Gloucester County, NJ","Gloucester County, New Jersey",50,NJ,Gloucester,340,150,3400150,12,150,34015,Gloucester,1126.496,2917610076,13363,13363,11.86245255,1126.49555,6598,3311,3287
3400190,340,190,71,Hunterdon County,"Hunterdon County, NJ","Hunterdon County, New Jersey",50,NJ,Hunterdon,340,190,3400190,12,190,34019,Hunterdon,542.6901,1405560916,20153,20153,37.13537401,542.6901044,9345,4379,4966
3400230,340,230,72,Middlesex County,"Middlesex County, NJ","Middlesex County, New Jersey",50,NJ,Middlesex,340,230,3400230,12,230,34023,Middlesex,378.971,981530284.9,15956,15956,42.1034897,378.9709621,7370,3375,3995
3400250,340,250,73,Monmouth County,"Monmouth County, NJ","Monmouth County, New Jersey",50,NJ,Monmouth,340,250,3400250,12,250,34025,Monmouth,1081.769,2801768420,16918,16918,15.63920076,1081.768836,7521,3678,3843
3400270,340,270,74,Morris County,"Morris County, NJ","Morris County, New Jersey",50,NJ,Morris,340,270,3400270,12,270,34027,Morris,481.2843,1246520577,16216,16216,33.693184,481.2842859,8030,3938,4092
3400330,340,330,75,Salem County,"Salem County, NJ","Salem County, New Jersey",50,NJ,Salem,340,330,3400330,12,330,34033,Salem,348.4478,902475628.3,10437,10437,29.95283754,348.4477885,5075,2396,2679
3400350,340,350,76,Somerset County,"Somerset County, NJ","Somerset County, New Jersey",50,NJ,Somerset,340,350,3400350,12,350,34035,Somerset,319.1035,826474182.5,12296,12296,38.53295655,319.1034662,5209,2390,2819
3400370,340,370,77,Sussex County,"Sussex County, NJ","Sussex County, New Jersey",50,NJ,Sussex,340,370,3400370,12,370,34037,Sussex,898.7394,2327724270,19500,19500,21.69705783,898.7393663,9902,4939,4963
3600010,360,10,78,Albany County,"Albany County, NY","Albany County, New York",50,NY,Albany,360,10,3600010,13,10,36001,Albany,3274.545,8481032963,75980,75980,23.20322268,3274.545138,37644,18960,18684
3600190,360,190,79,Clinton County,"Clinton County, NY","Clinton County, New York",50,NY,Clinton,360,190,3600190,13,190,36019,Clinton,3979.386,10306562730,1615,1615,0.405841492,3979.386122,901,356,545
3600210,360,210,80,Columbia County,"Columbia County, NY","Columbia County, New York",50,NY,Columbia,360,210,3600210,13,210,36021,Columbia,647.9253,1678118858,27496,27496,42.43698988,647.9253142,13293,6739,6554
3600270,360,270,81,Dutchess County,"Dutchess County, NY","Dutchess County, New York",50,NY,Dutchess,360,270,3600270,13,270,36027,Dutchess,1071.959,2776362187,45276,45276,42.2366729,1071.959435,22041,11069,10972
3600435,360,435,82,Indian Lands (No Data),"Indian Lands (No Data), NY","Indian Lands (No Data), New York",50,NY,Indian Lands (No Data),360,435,3600435,,,,,5513.844,14280789395,,,,5513.843618,,,
3600470,360,470,83,Kings County,"Kings County, NY","Kings County, New York",50,NY,Kings,360,470,3600470,13,470,36047,Kings,69.3043,179497245.6,4549,4549,65.63808742,69.30427407,1606,703,903
3600570,360,570,84,Montgomery County,"Montgomery County, NY","Montgomery County, New York",50,NY,Montgomery,360,570,3600570,13,570,36057,Montgomery,21065.9,54560437962,28852,28852,1.369606617,21065.90289,15071,7205,7866
3600610,360,610,85,New York County,"New York County, NY","New York County, New York",50,NY,New York,360,610,3600610,13,610,36061,New York,22.6804,58741888.92,33111,33111,1459.89681,22.68037014,14382,5900,8482
3600690,360,690,86,Ontario County,"Ontario County, NY","Ontario County, New York",50,NY,Ontario,360,690,3600690,13,690,36069,Ontario,5139.079,13310152770,1074,1074,0.208986875,5139.078721,716,192,524
3600710,360,710,87,Orange County,"Orange County, NY","Orange County, New York",50,NY,Orange,360,710,3600710,13,710,36071,Orange,675.9649,1750741135,18477,18477,27.33425822,675.9649321,8930,4334,4596
3600810,360,810,88,Queens County,"Queens County, NY","Queens County, New York",50,NY,Queens,360,810,3600810,13,810,36081,Queens,402.1291,1041509711,16013,16013,39.82054042,402.1291482,6418,2863,3555
3600850,360,850,89,Richmond County,"Richmond County, NY","Richmond County, New York",50,NY,Richmond,360,850,3600850,13,850,36085,Richmond,58.8066,152308395.5,3827,3827,65.07772899,58.80660034,1500,753,747
3601030,360,1030,90,Suffolk County,"Suffolk County, NY","Suffolk County, New York",50,NY,Suffolk,360,1030,3601030,13,1030,36103,Suffolk,932.8959,2416189172,16546,16546,17.73617054,932.895856,7081,3294,3787
3601110,360,1110,91,Ulster County,"Ulster County, NY","Ulster County, New York",50,NY,Ulster,360,1110,3601110,13,1110,36111,Ulster,3611.475,9353676908,29370,29370,8.132411613,3611.474849,13833,6783,7050
3601150,360,1150,92,Washington County,"Washington County, NY","Washington County, New York",50,NY,Washington,360,1150,3601150,13,1150,36115,Washington,1592.293,4124019525,14077,14077,8.840710467,1592.292843,7405,3789,3616
3601190,360,1190,93,Westchester County,"Westchester County, NY","Westchester County, New York",50,NY,Westchester,360,1190,3601190,13,1190,36119,Westchester,493.2557,1277526513,23978,23978,48.61169942,493.2557447,11252,5318,5934
3700070,370,70,94,Anson County,"Anson County, NC","Anson County, North Carolina",50,NC,Anson,370,70,3700070,47,70,37007,Anson,825.7562,2138698860,5235,5235,6.339643227,825.7562472,2218,1183,1035
3700130,370,130,95,Beaufort County,"Beaufort County, NC","Beaufort County, North Carolina",50,NC,Beaufort,370,130,3700130,47,130,37013,Beaufort,786.2564,2036394596,5405,5405,6.874348294,786.2563502,1834,924,910
3700150,370,150,96,Bertie County,"Bertie County, NC","Bertie County, North Carolina",50,NC,Bertie,370,150,3700150,47,150,37015,Bertie,707.7377,1833032308,12462,12462,17.60821763,707.7377314,3521,1802,1719
